506
506 1280
      col_name  feature_importance_vals
367        368                28.102143
314        315                21.731378
369        370                21.580210
494        495                19.477892
714        715                16.978827
987        988                16.185882
899        900                15.998477
323        324                15.339930
1235      1236                15.326800
277        278                15.091992
1005      1006                14.866491
20          21                13.034940
589        590                11.404690
1178      1179                11.143516
26          27                11.021580
365        366                10.810513
348        349                10.178001
186        187                 9.324207
1026      1027                 9.142771
654        655                 9.034506
919        920                 9.021643
470        471                 8.464032
1185      1186                 8.440278
1018      1019                 8.423310
593        594                 8.256461
998        999                 8.029480
255        256                 7.922957
742        743                 7.525133
94          95                 7.196469
372        373                 7.096255
749        750                 6.937752
431        432                 6.832683
1114      1115                 6.787471
100        101                 6.739867
767        768                 6.734542
28          29                 6.579054
867        868                 6.514848
507        508                 6.386862
1160      1161                 6.327075
1254      1255                 6.216424
517        518                 6.127539
286        287                 5.883888
537        538                 5.866801
284        285                 5.814852
730        731                 5.807228
1066      1067                 5.802316
217        218                 5.699635
516        517                 5.631942
1271      1272                 5.608036
1133      1134                 5.433587
925        926                 5.420458
483        484                 5.416305
569        570                 5.338114
462        463                 5.329650
1181      1182                 5.296797
40          41                 5.294398
954        955                 5.288780
634        635                 5.226890
835        836                 5.201946
1244      1245                 5.189576
874        875                 5.128941
1060      1061                 5.096188
928        929                 5.071380
973        974                 5.053100
180        181                 5.049214
221        222                 5.040696
143        144                 5.038678
1036      1037                 5.006866
441        442                 4.947524
1264      1265                 4.914989
1144      1145                 4.908995
624        625                 4.878751
1194      1195                 4.875466
856        857                 4.699330
273        274                 4.697547
547        548                 4.695788
463        464                 4.590519
1214      1215                 4.578399
760        761                 4.544689
1152      1153                 4.496201
295        296                 4.457325
0            1                 4.434467
1266      1267                 4.330903
1010      1011                 4.314940
1163      1164                 4.276779
171        172                 4.257854
994        995                 4.248968
640        641                 4.225236
822        823                 4.129621
240        241                 4.111060
811        812                 4.024903
1218      1219                 4.005606
633        634                 3.978159
1263      1264                 3.970987
309        310                 3.945989
731        732                 3.914885
212        213                 3.913131
558        559                 3.885139
816        817                 3.834670
738        739                 3.821795
780        781                 3.785240
566        567                 3.777701
438        439                 3.774395
296        297                 3.753003
877        878                 3.685702
571        572                 3.679668
896        897                 3.672152
682        683                 3.639044
1149      1150                 3.621451
487        488                 3.609678
1008      1009                 3.532643
385        386                 3.532547
448        449                 3.519294
